id,shares,Usage
1705,1900,Private
1706,1100,Private
1707,1500,Public
1708,686,Private
1709,832,Public
1710,6300,Private
1711,827,Public
1712,1500,Private
1713,3200,Public
1714,2600,Public
1715,1100,Private
1716,2500,Public
1717,5500,Private
1718,1200,Private
1719,1700,Private
1720,678,Private
1721,1300,Public
1722,1400,Private
1723,4400,Public
1724,712,Public
1725,570,Private
1726,522,Private
1727,924,Public
1728,13500,Public
1729,2100,Public
1730,819,Public
1731,1500,Public
1732,1500,Private
1733,8400,Private
1734,1200,Public
1735,11000,Public
1736,1300,Private
1737,9800,Public
1738,3000,Public
1739,964,Public
1740,771,Private
1741,1100,Public
1742,927,Public
1743,542,Private
1744,1100,Public
1745,3500,Public
1746,478,Private
1747,2800,Private
1748,2900,Private
1749,1700,Private
1750,861,Public
1751,3600,Public
1752,1200,Private
1753,796,Public
1754,552,Private
1755,2300,Public
1756,899,Public
1757,667,Public
1758,686,Public
1759,395,Private
1760,606,Public
1761,728,Private
1762,861,Public
1763,981,Private
1764,691,Public
1765,1400,Private
1766,810,Private
1767,531,Public
1768,1400,Public
1769,1000,Public
1770,530,Public
1771,4900,Private
1772,507,Public
1773,3500,Private
1774,664,Public
1775,644,Private
1776,3000,Public
1777,645,Public
1778,6500,Public
1779,3700,Public
1780,484,Private
1781,818,Private
1782,4000,Public
1783,1900,Public
1784,648,Public
1785,541,Private
1786,369,Private
1787,574,Public
1788,1500,Private
1789,834,Private
1790,528,Public
1791,475,Public
1792,712,Private
1793,834,Private
1794,1000,Private
1795,1900,Private
1796,883,Private
1797,1200,Public
1798,811,Private
1799,1600,Private
1800,563,Private
1801,3000,Private
1802,571,Private
1803,2300,Private
1804,3200,Private
1805,4500,Private
1806,1400,Public
1807,667,Public
1808,1000,Private
1809,409,Public
1810,1300,Public
1811,1400,Private
1812,787,Private
1813,1800,Public
1814,1100,Private
1815,1200,Private
1816,553,Private
1817,23700,Private
1818,1800,Private
1819,973,Private
1820,1700,Private
1821,693,Private
1822,700,Private
1823,794,Private
1824,1200,Private
1825,1500,Private
1826,5900,Private
1827,3200,Public
1828,1500,Public
1829,8300,Public
1830,732,Public
1831,867,Public
1832,1700,Private
1833,2600,Private
1834,1500,Private
1835,7900,Public
1836,7400,Private
1837,4200,Public
1838,675,Private
1839,1900,Public
1840,2100,Private
1841,698,Private
1842,7400,Public
1843,4300,Private
1844,3700,Public
1845,993,Private
1846,1800,Private
1847,1800,Private
1848,2700,Private
1849,506,Public
1850,1500,Public
1851,2000,Public
1852,1100,Public
1853,775,Private
1854,1100,Public
1855,12000,Private
1856,939,Private
1857,744,Public
1858,2200,Public
1859,710,Public
1860,1200,Public
1861,3200,Public
1862,1400,Private
1863,2000,Private
1864,1500,Private
1865,887,Public
1866,1200,Public
1867,6200,Public
1868,929,Public
1869,7200,Public
1870,757,Private
1871,623,Public
1872,3100,Private
1873,391,Private
1874,296,Public
1875,417,Private
1876,731,Private
1877,2900,Public
1878,954,Public
1879,1200,Public
1880,5100,Public
1881,1500,Private
1882,783,Public
1883,4700,Public
1884,392,Private
1885,7500,Private
1886,1000,Public
1887,1300,Public
1888,703,Private
1889,12700,Private
1890,648,Private
1891,881,Public
1892,16200,Public
1893,599,Public
1894,584,Private
1895,1700,Public
1896,2100,Public
1897,681,Public
1898,999,Private
1899,1900,Private
1900,1900,Private
1901,1800,Private
1902,860,Public
1903,925,Private
1904,6100,Private
1905,8100,Public
1906,2400,Private
1907,1000,Public
1908,2100,Public
1909,1500,Private
1910,3000,Public
1911,2100,Private
1912,2800,Private
1913,2000,Private
1914,4200,Private
1915,1400,Public
1916,61600,Private
1917,656,Public
1918,2800,Private
1919,1300,Private
1920,572,Private
1921,1100,Private
1922,3800,Private
1923,895,Public
1924,808,Private
1925,5800,Public
1926,565,Public
1927,4500,Private
1928,743,Private
1929,2800,Private
1930,4000,Private
1931,682,Private
1932,764,Public
1933,794,Private
1934,751,Private
1935,804,Private
1936,1200,Private
1937,2700,Private
1938,1600,Private
1939,1400,Public
1940,3600,Private
1941,529,Private
1942,631,Public
1943,1000,Private
1944,950,Private
1945,2600,Private
1946,682,Public
1947,789,Public
1948,3500,Private
1949,5700,Public
1950,657,Private
1951,1000,Private
1952,2300,Public
1953,831,Private
1954,2100,Private
1955,821,Public
1956,4000,Private
1957,217,Public
1958,1500,Private
1959,1300,Public
1960,926,Private
1961,1200,Public
1962,1700,Private
1963,1600,Public
1964,596,Public
1965,305,Private
1966,767,Private
1967,2000,Public
1968,3600,Public
1969,2200,Public
1970,2800,Public
1971,15000,Private
1972,116,Public
1973,1500,Private
1974,759,Private
1975,1300,Private
1976,1300,Private
1977,549,Public
1978,859,Private
1979,1100,Private
1980,2500,Public
1981,97,Public
1982,3900,Public
1983,1300,Public
1984,1100,Public
1985,473,Public
1986,425,Public
1987,489,Public
1988,17100,Public
1989,675,Private
1990,2800,Public
1991,387,Private
1992,675,Public
1993,23000,Private
1994,504,Private
1995,190,Private
1996,286,Private
1997,3400,Public
1998,605,Private
1999,365,Private
2000,1200,Private
2001,4700,Private
2002,1900,Public
2003,205,Private
2004,1500,Public
2005,735,Public
2006,486,Private
2007,1600,Public
2008,1400,Public
2009,1400,Public
2010,9800,Private
2011,1400,Private
2012,2000,Private
2013,815,Public
2014,751,Private
2015,843,Private
2016,1400,Public
2017,2000,Private
2018,240,Public
2019,2500,Private
2020,795,Public
2021,2500,Public
2022,1300,Public
2023,933,Private
2024,3100,Private
2025,84,Public
2026,116,Private
2027,2100,Private
2028,3600,Private
2029,1400,Public
2030,915,Public
2031,1200,Public
2032,3500,Public
2033,1500,Public
2034,903,Public
2035,919,Private
2036,914,Public
2037,1000,Public
2038,990,Public
2039,821,Private
2040,2000,Private
2041,2200,Private
2042,342,Private
2043,2200,Public
2044,118700,Public
2045,2200,Public
2046,1100,Private
2047,872,Public
2048,1600,Private
2049,566,Private
2050,671,Public
2051,1600,Public
2052,1600,Private
2053,448,Public
2054,732,Public
2055,815,Private
2056,1600,Public
2057,2800,Private
2058,4600,Private
2059,2500,Public
2060,2000,Private
2061,226,Public
2062,3500,Private
2063,4900,Public
2064,924,Public
2065,7200,Public
2066,403,Public
2067,798,Private
2068,798,Private
2069,720,Private
2070,492,Public
2071,1300,Private
2072,1000,Private
2073,4100,Public
2074,464,Public
2075,9000,Public
2076,542,Public
2077,1200,Public
2078,725,Public
2079,1700,Private
2080,6000,Public
2081,447,Public
2082,712,Private
2083,1200,Private
2084,549,Private
2085,600,Public
2086,1900,Private
2087,1100,Public
2088,2500,Public
2089,4900,Public
2090,1500,Private
2091,5700,Public
2092,1100,Public
2093,2200,Private
2094,378,Private
2095,1100,Public
2096,752,Private
2097,5300,Private
2098,839,Public
2099,2100,Public
2100,1400,Public
2101,10200,Private
2102,237,Public
2103,81200,Public
2104,468,Private
2105,451,Private
2106,772,Public
2107,2900,Public
2108,1900,Public
2109,693,Public
2110,2900,Private
2111,4500,Public
2112,3600,Private
2113,750,Public
2114,8100,Public
2115,472,Public
2116,1500,Private
2117,958,Public
2118,196,Public
2119,417,Public
2120,10500,Public
2121,643,Private
2122,1000,Private
2123,2100,Public
2124,1900,Private
2125,3900,Private
2126,582,Private
2127,1200,Private
2128,1700,Private
2129,575,Public
2130,2600,Public
2131,1200,Private
2132,332,Private
2133,1100,Private
2134,535,Private
2135,190,Private
2136,127,Public
2137,1300,Public
2138,2400,Public
2139,258,Public
2140,1400,Public
2141,1400,Public
2142,12900,Public
2143,3600,Private
2144,5300,Public
2145,9200,Private
2146,890,Private
2147,1800,Private
2148,844,Public
2149,1300,Private
2150,448,Private
2151,2500,Private
2152,1100,Private
2153,621,Private
2154,1500,Private
2155,891,Public
2156,1100,Private
2157,151,Public
2158,670,Private
2159,5800,Private
2160,609,Public
2161,494,Public
2162,3400,Private
2163,743,Public
2164,1100,Private
2165,1300,Public
2166,650,Private
2167,964,Private
2168,2100,Private
2169,1400,Public
2170,782,Public
2171,718,Public
2172,2700,Public
2173,1200,Private
2174,4600,Public
2175,606,Private
2176,17400,Public
2177,2000,Public
2178,1900,Public
2179,1400,Public
2180,1900,Public
2181,531,Private
2182,730,Public
2183,872,Private
2184,2100,Public
2185,1200,Private
2186,1400,Private
2187,2400,Public
2188,2300,Public
2189,1300,Public
2190,950,Public
2191,1200,Public
2192,680,Private
2193,1100,Private
2194,624,Public
2195,687,Private
2196,556,Private
2197,2800,Public
2198,483,Public
2199,3800,Private
2200,939,Public
2201,1300,Private
2202,3900,Private
2203,5300,Public
2204,1600,Public
2205,724,Public
2206,624,Private
2207,1000,Public
2208,2300,Public
2209,2200,Private
2210,1900,Public
2211,697,Public
2212,1700,Private
2213,1400,Private
2214,825,Private
2215,657,Private
2216,963,Private
2217,692,Private
2218,1400,Private
2219,10300,Public
2220,2000,Private
2221,5300,Public
2222,943,Public
2223,1800,Private
2224,4000,Public
2225,2800,Private
2226,1600,Public
2227,5000,Public
2228,5300,Public
2229,2700,Private
2230,3700,Private
2231,1200,Public
2232,1300,Public
2233,1000,Public
2234,5800,Public
2235,968,Public
2236,6900,Public
2237,5700,Public
2238,1100,Public
2239,1200,Public
2240,681,Public
2241,1500,Private
2242,402,Private
2243,736,Private
2244,313,Private
2245,2400,Private
2246,7800,Public
2247,3100,Public
2248,1600,Private
2249,843,Private
2250,6500,Public
2251,2300,Private
2252,1700,Private
2253,5100,Private
2254,591,Private
2255,2800,Private
2256,731,Private
2257,1400,Private
2258,3000,Public
2259,629,Private
2260,588,Private
2261,633,Private
2262,2400,Private
2263,1000,Private
2264,7200,Public
2265,955,Public
2266,279,Private
2267,2000,Private
2268,756,Public
2269,2700,Private
2270,3700,Public
2271,869,Public
2272,730,Public
2273,1400,Private
2274,7900,Private
2275,894,Public
2276,590,Public
2277,983,Private
2278,980,Private
2279,1100,Private
2280,1800,Public
2281,403,Private
2282,2100,Public
2283,2500,Private
2284,88,Public
2285,811,Public
2286,1600,Private
2287,762,Public
2288,301,Public
2289,2300,Private
2290,988,Private
2291,1200,Private
2292,40400,Public
2293,2700,Private
2294,1100,Private
2295,1300,Public
2296,1900,Private
2297,538,Public
2298,782,Public
2299,1300,Private
2300,1600,Public
2301,2400,Public
2302,245,Private
2303,202,Public
2304,154,Private
2305,2200,Private
2306,168,Private
2307,1400,Private
2308,1100,Private
2309,2500,Public
2310,11300,Public
2311,1000,Public
2312,1900,Private
2313,4100,Public
2314,3100,Public
2315,13700,Private
2316,2400,Public
2317,8000,Public
2318,12200,Public
2319,2900,Private
2320,2400,Private
2321,2000,Public
2322,16100,Private
2323,1200,Public
2324,1000,Private
2325,1600,Private
2326,1500,Public
2327,109,Public
2328,5700,Private
2329,1500,Private
2330,28200,Private
2331,696,Public
2332,1500,Public
2333,2100,Private
2334,686,Private
2335,1200,Public
2336,6500,Private
2337,705,Private
2338,544,Public
2339,732,Public
2340,942,Public
2341,637,Public
2342,1900,Public
2343,564,Public
2344,2800,Private
2345,3600,Public
2346,1700,Private
2347,2300,Public
2348,60,Private
2349,6600,Public
2350,5200,Private
2351,665,Public
2352,735,Public
2353,1500,Private
2354,854,Public
2355,2200,Private
2356,6600,Public
2357,1600,Private
2358,4200,Public
2359,792,Public
2360,1100,Public
2361,51,Private
2362,1600,Public
2363,682,Private
2364,857,Private
2365,2700,Private
2366,1100,Private
2367,738,Public
2368,922,Private
2369,1200,Public
2370,24500,Private
2371,14800,Private
2372,966,Private
2373,805,Public
2374,2000,Public
2375,774,Private
2376,1100,Private
2377,5800,Private
2378,1800,Private
2379,2100,Private
2380,1100,Private
2381,7800,Private
2382,104100,Private
2383,1100,Private
2384,1300,Public
2385,734,Private
2386,1100,Public
2387,795,Public
2388,1300,Private
2389,1000,Public
2390,3700,Public
2391,841,Private
2392,3700,Public
2393,24500,Public
2394,6900,Private
2395,1200,Private
2396,1100,Private
2397,879,Private
2398,5100,Public
2399,769,Private
2400,1900,Public
2401,878,Private
2402,1800,Private
2403,4600,Public
2404,1100,Private
2405,1700,Private
2406,581,Public
2407,5200,Private
2408,237,Public
2409,2000,Private
2410,1900,Public
2411,1400,Private
2412,928,Public
2413,14600,Public
2414,455,Private
2415,1100,Public
2416,4800,Private
2417,4800,Public
2418,585,Private
2419,926,Public
2420,581,Private
2421,1300,Public
2422,972,Public
2423,1500,Public
2424,987,Private
2425,929,Private
2426,3500,Private
2427,953,Public
2428,2000,Private
2429,1500,Public
2430,3300,Private
2431,759,Private
2432,4300,Private
2433,1500,Public
2434,700,Private
2435,7600,Public
2436,10300,Private
2437,1700,Public
2438,587,Public
2439,582,Private
2440,1000,Private
2441,658,Private
2442,693,Private
2443,321,Public
2444,8400,Private
2445,5500,Private
2446,1100,Public
2447,743,Public
2448,23,Private
2449,18900,Private
2450,532,Public
2451,753,Private
2452,258,Private
2453,614,Private
2454,4500,Private
2455,36100,Private
2456,756,Private
2457,493,Public
2458,564,Public
2459,2700,Private
2460,1800,Private
2461,149,Private
2462,280,Public
2463,1800,Private
2464,1600,Public
2465,981,Private
2466,788,Private
2467,1400,Private
2468,2300,Public
2469,755,Private
2470,597,Private
2471,1200,Public
2472,4300,Private
2473,277,Private
2474,762,Private
2475,56400,Public
2476,2400,Public
2477,991,Private
2478,158,Private
2479,1300,Public
2480,715,Public
2481,620,Private
2482,562,Public
2483,730,Public
2484,596,Private
2485,658,Public
2486,661,Private
2487,1000,Private
2488,2200,Public
2489,905,Public
2490,911,Private
2491,2900,Public
2492,947,Private
2493,210300,Private
2494,978,Public
2495,1400,Private
2496,2500,Private
2497,703,Public
2498,2200,Public
2499,1700,Private
2500,924,Public
2501,1100,Private
2502,2300,Public
2503,1000,Public
2504,933,Private
2505,787,Private
2506,4000,Public
2507,714,Public
2508,896,Private
2509,748,Private
2510,5000,Public
2511,829,Public
2512,1800,Private
2513,3200,Private
2514,1900,Private
2515,2300,Private
2516,80,Private
2517,816,Private
2518,31600,Public
2519,3400,Public
2520,1100,Public
2521,951,Public
2522,1800,Private
2523,1200,Public
2524,1300,Public
2525,619,Public
2526,971,Public
2527,548,Private
2528,1600,Public
2529,1800,Private
2530,782,Private
2531,387,Private
2532,612,Private
2533,906,Private
2534,2100,Public
2535,826,Private
2536,589,Private
2537,12300,Public
2538,1800,Public
2539,554,Private
2540,2000,Public
2541,1000,Public
2542,896,Private
2543,450,Public
2544,714,Private
2545,15200,Public
2546,4100,Public
2547,686,Public
2548,1900,Public
2549,595,Private
2550,589,Private
2551,5200,Private
2552,1500,Private
2553,657,Public
2554,5800,Private
2555,1200,Public
2556,1000,Public
2557,1100,Public
2558,913,Private
2559,3600,Private
2560,1700,Public
2561,799,Private
2562,3200,Private
2563,765,Public
2564,913,Public
2565,1400,Public
2566,11800,Public
2567,1000,Private
2568,1100,Public
2569,2600,Private
2570,17600,Public
2571,32500,Public
2572,728,Private
2573,659,Private
2574,124,Private
2575,1500,Private
2576,3400,Private
2577,5800,Private
2578,217,Public
2579,1000,Public
2580,7900,Public
2581,11200,Public
2582,1100,Private
2583,1100,Public
2584,4700,Public
2585,7300,Private
2586,975,Public
2587,930,Public
2588,4600,Public
2589,863,Public
2590,4200,Public
2591,787,Private
2592,850,Private
2593,1100,Private
2594,8000,Private
2595,1100,Private
2596,9800,Private
2597,3600,Public
2598,97,Private
2599,23700,Private
2600,18200,Private
2601,543,Private
2602,1500,Private
2603,4500,Private
2604,2000,Public
2605,651,Private
2606,941,Public
2607,1500,Private
2608,2100,Private
2609,2200,Public
2610,1000,Public
2611,1300,Private
2612,932,Public
2613,908,Private
2614,674,Private
2615,777,Private
2616,1100,Public
2617,2700,Public
2618,1900,Public
2619,1000,Public
2620,42,Public
2621,1100,Private
2622,14800,Private
2623,850,Private
2624,2500,Public
2625,908,Public
2626,9200,Public
2627,902,Private
2628,6900,Public
2629,2300,Private
2630,311,Public
2631,976,Public
2632,402,Private
2633,1000,Private
2634,697,Private
2635,414,Private
2636,1300,Private
2637,57,Private
2638,1200,Private
2639,1900,Private
2640,563,Public
2641,612,Private
2642,869,Public
2643,1300,Private
2644,1800,Public
2645,830,Public
2646,2200,Private
2647,655,Private
2648,1000,Public
2649,2400,Private
2650,3200,Private
2651,1400,Public
2652,2400,Public
2653,1600,Public
2654,724,Public
2655,562,Public
2656,856,Private
2657,830,Private
2658,5600,Public
2659,643,Public
2660,1000,Public
2661,561,Private
2662,2700,Public
2663,8300,Public
2664,3400,Public
2665,806,Private
2666,2000,Public
2667,2800,Public
2668,1200,Private
2669,1100,Private
2670,862,Private
2671,7600,Private
2672,6100,Public
2673,4100,Public
2674,993,Public
2675,1300,Public
2676,6600,Private
2677,20000,Public
2678,650,Public
2679,1800,Private
2680,8300,Private
2681,813,Public
2682,1200,Public
2683,1500,Public
2684,2900,Public
2685,656,Private
2686,695,Public
2687,594,Private
2688,953,Private
2689,6600,Public
2690,739,Public
2691,706,Public
2692,461,Private
2693,857,Private
2694,669,Public
2695,1300,Private
2696,1300,Private
2697,2100,Public
2698,2800,Public
2699,500,Public
2700,939,Private
2701,1200,Public
2702,1300,Private
2703,15100,Public
2704,1500,Public
2705,1000,Private
2706,1700,Private
2707,738,Public
2708,756,Private
2709,873,Private
2710,1200,Private
2711,942,Public
2712,899,Private
2713,790,Public
2714,491,Private
2715,5300,Private
2716,2700,Public
2717,968,Public
2718,6700,Public
2719,1300,Private
2720,2200,Public
2721,1000,Public
2722,741,Private
2723,833,Private
2724,702,Public
2725,16100,Public
2726,5000,Public
2727,782,Public
2728,39500,Private
2729,1000,Private
2730,435,Private
2731,1900,Private
2732,2200,Private
2733,1000,Private
2734,828,Private
2735,1300,Private
2736,1200,Private
2737,861,Private
2738,1200,Public
2739,1400,Private
2740,7400,Private
2741,49500,Public
2742,918,Public
2743,337,Public
2744,1400,Public
2745,546,Public
2746,683,Private
2747,1800,Private
2748,14300,Public
2749,1500,Public
2750,737,Public
2751,1900,Public
2752,2200,Public
2753,1300,Private
2754,808,Public
2755,14000,Private
2756,1200,Public
2757,981,Private
2758,3500,Public
2759,1500,Public
2760,837,Private
2761,2400,Private
2762,791,Private
2763,8300,Public
2764,1300,Public
2765,1200,Public
2766,1700,Public
2767,1900,Public
2768,5200,Private
2769,665,Public
2770,2900,Private
2771,1100,Private
2772,1500,Public
2773,1500,Public
2774,2100,Private
2775,18200,Public
2776,376,Private
2777,828,Private
2778,906,Private
2779,1500,Public
2780,894,Private
2781,936,Public
2782,609,Private
2783,920,Private
2784,715,Private
2785,11400,Public
2786,5300,Private
2787,728,Public
2788,17800,Public
2789,539,Private
2790,13200,Public
2791,2900,Private
2792,758,Public
2793,2500,Public
2794,871,Private
2795,974,Private
2796,1600,Private
2797,916,Public
2798,4400,Private
2799,2100,Public
2800,1100,Public
2801,8400,Private
2802,621,Private
2803,1200,Private
2804,995,Private
2805,552,Public
2806,770,Public
2807,1500,Private
2808,601,Private
2809,1000,Private
2810,2000,Private
2811,5800,Public
2812,522,Private
2813,1200,Public
2814,799,Private
2815,971,Public
2816,865,Private
2817,842,Public
2818,1200,Public
2819,675,Private
2820,13300,Public
2821,2100,Private
2822,2900,Public
2823,718,Private
2824,435,Private
2825,1000,Private
2826,2300,Public
2827,2300,Private
2828,1200,Private
2829,2100,Public
2830,590,Private
2831,1400,Public
2832,1000,Private
2833,9100,Public
2834,2600,Public
2835,2000,Private
2836,4300,Public
2837,2900,Public
2838,1500,Private
2839,1600,Private
2840,3600,Private
2841,1600,Private
2842,54100,Private
2843,1500,Public
2844,6300,Private
2845,3700,Public
2846,576,Public
2847,935,Private
2848,721,Private
2849,9700,Private
2850,267,Private
2851,3700,Public
2852,507,Public
2853,2900,Public
2854,981,Public
2855,363,Public
2856,904,Public
2857,4100,Public
2858,1300,Public
2859,823,Public
2860,901,Private
2861,1300,Private
2862,468,Private
2863,1400,Private
2864,820,Public
2865,416,Private
2866,2300,Private
2867,776,Private
2868,742,Private
2869,1100,Public
2870,1100,Private
2871,675,Public
2872,639,Private
2873,2100,Private
2874,2000,Public
2875,1100,Public
2876,1700,Private
2877,497,Public
2878,842,Public
2879,1300,Private
2880,543,Private
2881,2500,Private
2882,23900,Public
2883,1500,Public
2884,757,Public
2885,4900,Public
2886,2200,Private
2887,586,Public
2888,898,Private
2889,640,Private
2890,435,Private
2891,599,Public
2892,1100,Public
2893,679,Public
2894,2500,Private
2895,1700,Private
2896,10000,Public
2897,750,Private
2898,897,Private
2899,702,Private
2900,653,Public
2901,596,Public
2902,628,Private
2903,715,Private
2904,653,Public
2905,733,Public
2906,464,Public
2907,7100,Private
2908,2800,Private
2909,661,Public
2910,617,Public
2911,942,Private
2912,5300,Public
2913,1000,Private
2914,1200,Public
2915,3000,Public
2916,981,Private
2917,871,Private
2918,1500,Private
2919,2700,Private
2920,32600,Public
2921,1200,Public
2922,18600,Private
2923,3600,Public
2924,1500,Private
2925,4700,Private
2926,1400,Private
2927,10400,Private
2928,2700,Private
2929,1000,Public
2930,1600,Public
2931,744,Private
2932,4500,Public
2933,1500,Private
2934,641,Private
2935,3800,Private
2936,3900,Public
2937,1400,Private
2938,4300,Private
2939,925,Private
2940,579,Private
2941,8000,Private
2942,929,Private
2943,7200,Private
2944,953,Private
2945,1300,Private
2946,1100,Public
2947,463,Public
2948,2800,Private
2949,4200,Private
2950,544,Public
2951,797,Public
2952,618,Private
2953,5800,Private
2954,1100,Private
2955,2200,Public
2956,2200,Public
2957,1000,Private
2958,2000,Public
2959,332,Public
2960,5200,Public
2961,500,Private
2962,1500,Private
2963,1600,Private
2964,1400,Public
2965,1100,Private
2966,356,Public
2967,1100,Private
2968,1100,Public
2969,1600,Public
2970,652,Public
2971,2000,Private
2972,1100,Public
2973,608,Private
2974,723,Public
2975,759,Public
2976,1500,Public
2977,5300,Public
2978,759,Public
2979,894,Public
2980,11500,Private
2981,851,Public
2982,1600,Public
2983,982,Private
2984,668,Private
2985,554,Private
2986,881,Public
2987,2100,Private
2988,1500,Public
2989,13100,Public
2990,13900,Public
2991,718,Private
2992,1800,Public
2993,977,Private
2994,462,Public
2995,668,Private
2996,1500,Private
2997,645,Private
2998,2300,Public
2999,1100,Private
3000,3400,Private
3001,2100,Private
3002,5400,Private
3003,1100,Public
3004,1300,Private
3005,641,Public
3006,1900,Public
3007,1100,Private
3008,1400,Public
3009,1000,Public
3010,1800,Private
3011,2500,Public
3012,3600,Public
3013,1100,Private
3014,5100,Public
3015,3700,Private
3016,4300,Private
3017,6800,Private
3018,1200,Public
3019,2600,Public
3020,143100,Private
3021,2900,Private
3022,2300,Private
3023,837,Private
3024,3100,Private
3025,10000,Private
3026,1500,Private
3027,7500,Private
3028,676,Private
3029,816,Private
3030,3700,Public
3031,1200,Public
3032,5800,Private
3033,5900,Private
3034,636,Public
3035,1800,Private
3036,396,Private
3037,1200,Private
3038,4300,Public
3039,2000,Private
3040,2900,Private
3041,1200,Private
3042,16300,Private
3043,948,Private
3044,497,Private
3045,713,Public
3046,822,Public
3047,818,Private
3048,1200,Private
3049,1100,Public
3050,1100,Private
3051,1000,Public
3052,3300,Public
3053,666,Public
3054,498,Private
3055,2600,Private
3056,4000,Public
3057,541,Public
3058,739,Public
3059,756,Private
3060,30400,Public
3061,47800,Public
3062,2800,Private
3063,1300,Private
3064,2400,Private
3065,672,Private
3066,1100,Private
3067,1900,Private
3068,1900,Public
3069,1800,Public
3070,2300,Private
3071,1900,Public
3072,1300,Private
3073,772,Public
3074,709,Private
3075,1500,Public
3076,2200,Public
3077,20200,Public
3078,1800,Private
3079,538,Private
3080,1100,Public
3081,5500,Private
3082,2900,Private
3083,7000,Public
3084,840,Public
3085,7800,Public
3086,1700,Private
3087,1100,Private
3088,1200,Private
3089,1200,Public
3090,3800,Public
3091,4000,Public
3092,5200,Public
3093,1400,Public
3094,4200,Private
3095,1800,Private
3096,2100,Private
3097,1400,Private
3098,1900,Private
3099,5300,Public
3100,1400,Private
3101,2700,Private
3102,4600,Public
3103,629,Public
3104,987,Private
3105,1300,Public
3106,4800,Private
3107,1700,Private
3108,1500,Public
3109,3000,Private
3110,3500,Public
3111,2400,Public
3112,496,Private
3113,41000,Public
3114,10200,Public
3115,1100,Private
3116,981,Public
3117,877,Private
3118,863,Public
3119,994,Public
3120,1200,Public
3121,1700,Private
3122,7400,Public
3123,834,Private
3124,377,Private
3125,775,Private
3126,1400,Private
3127,1700,Public
3128,1200,Public
3129,1200,Private
3130,478,Public
3131,917,Private
3132,1200,Private
3133,1200,Public
3134,696,Private
3135,500,Public
3136,1200,Public
3137,697,Private
3138,1800,Private
3139,3700,Public
3140,1400,Private
3141,1800,Private
3142,801,Private
3143,910,Public
3144,2600,Public
3145,1700,Public
3146,1300,Private
3147,458,Public
3148,1600,Public
3149,377,Private
3150,6000,Public
3151,795,Public
3152,5800,Public
3153,2600,Private
3154,624,Private
3155,9500,Public
3156,1100,Public
3157,4800,Public
3158,1200,Public
3159,732,Private
3160,15700,Private
3161,5300,Public
3162,1100,Private
3163,1500,Private
3164,1000,Private
3165,1500,Public
3166,2200,Private
3167,1900,Private
3168,1600,Private
3169,885,Private
3170,636,Private
3171,975,Private
3172,831,Private
3173,13400,Private
3174,2000,Private
3175,584,Private
3176,722,Public
3177,1600,Public
3178,1700,Private
3179,828,Public
3180,815,Private
3181,5200,Private
3182,942,Private
3183,747,Private
3184,897,Public
3185,1100,Public
3186,995,Private
3187,1400,Public
3188,1300,Public
3189,704,Public
3190,722,Public
3191,1800,Public
3192,736,Public
3193,4400,Private
3194,8700,Private
3195,621,Public
3196,645,Public
3197,1100,Private
3198,10700,Public
3199,10100,Public
3200,690,Public
3201,479,Public
3202,4800,Private
3203,16900,Public
3204,706,Private
3205,1000,Public
3206,4100,Public
3207,879,Public
3208,1300,Private
3209,1100,Public
3210,17400,Public
3211,556,Private
3212,3900,Public
3213,711,Public
3214,1400,Public
3215,2300,Private
3216,1100,Private
3217,611,Private
3218,1600,Public
3219,11000,Private
3220,7500,Private
3221,5400,Public
3222,12300,Private
3223,5100,Private
3224,3000,Public
3225,991,Private
3226,15300,Public
3227,6800,Public
3228,1300,Private
3229,1100,Public
3230,1300,Public
3231,3400,Private
3232,2100,Private
3233,740,Private
3234,71700,Private
3235,2300,Public
3236,1400,Private
3237,3500,Private
3238,923,Public
3239,86300,Private
3240,1200,Private
3241,1300,Public
3242,4200,Private
3243,24400,Private
3244,1600,Private
3245,1100,Public
3246,3000,Public
3247,6500,Public
3248,900,Public
3249,17000,Private
3250,1000,Private
3251,12400,Private
3252,632,Private
3253,813,Public
3254,527,Public
3255,784,Private
3256,1100,Private
3257,1100,Public
3258,717,Public
3259,1100,Private
3260,3600,Public
3261,5000,Public
3262,610,Private
3263,370,Private
3264,521,Private
3265,9900,Public
3266,8800,Private
3267,3500,Private
3268,3500,Private
3269,770,Private
3270,919,Private
3271,3700,Public
3272,1600,Private
3273,1000,Public
3274,2600,Private
3275,3900,Private
3276,1300,Public
3277,776,Public
3278,2100,Public
3279,11000,Private
3280,1500,Public
3281,447,Public
3282,560,Public
3283,650,Public
3284,997,Public
3285,914,Public
3286,1800,Public
3287,430,Private
3288,797,Public
3289,441,Public
3290,12200,Public
3291,878,Public
3292,675,Public
3293,711,Public
3294,3100,Private
3295,1600,Private
3296,1200,Public
3297,675,Public
3298,1200,Private
3299,1500,Private
3300,492,Private
3301,1400,Public
3302,1300,Private
3303,12500,Public
3304,438,Private
3305,3900,Public
3306,684,Public
3307,419,Public
3308,732,Public
3309,660,Private
3310,1000,Private
3311,763,Private
3312,1200,Private
3313,694,Private
3314,16900,Private
3315,747,Private
3316,878,Public
3317,659,Private
3318,5000,Public
3319,16600,Public
3320,1600,Public
3321,787,Private
3322,1600,Public
3323,5500,Public
3324,32200,Public
3325,2200,Private
3326,1800,Public
3327,2500,Private
3328,2700,Public
3329,1000,Public
3330,755,Private
